cid1_model,cid2_model,textmining
64801,73799,762
180113,33319,744
167499,88888,845
149583,42080,764
145300,104027,739
143564,76636,873
143564,6111,756
97086,50234,877
111031,91394,912
111031,49933,853
111031,100006,734
67967,16910,842
67967,164711,750
159756,56360,728
172527,159456,759
165490,131241,732
83203,84254,761
83203,160634,784
83203,132096,922
83203,31176,896
47260,40046,731
87055,40046,731
131362,62249,735
131362,136679,775
60998,77821,911
158305,115384,750
158305,79135,713
158305,84273,969
132500,37525,821
132500,7046,820
152859,175120,820
36283,175120,820
105481,175120,820
18575,175120,820
63892,73892,717
36673,99426,745
106519,30242,722
31295,43482,743
31295,11086,819
11086,31295,819
118271,138655,841
116418,47917,745
116418,16225,749
37652,148769,844
37652,18959,897
37652,142446,876
37652,11445,741
16225,47917,820
16225,116418,749
159505,56061,752
38619,101467,726
161208,29045,877
153644,81745,843
49356,145387,843
49356,22158,760
120662,156053,712
131177,175609,716
86086,55850,941
86086,165847,843
86086,166728,931
116338,613,814
116338,34425,870
116338,58597,716
116338,54416,746
120175,111337,753
130386,110738,763
33407,66955,740
33407,156418,744
6241,103210,790
13229,170465,822
167836,127866,822
131168,68976,745
89505,172732,740
94250,144790,702
107940,161589,827
107940,41921,766
107940,54671,766
107940,81037,767
107940,54325,767
127866,172526,748
127866,167836,822
83884,85068,737
19782,113195,763
183034,37975,746
183034,161959,838
183034,62644,978
183034,95128,978
32229,11389,864
32229,27438,872
